From,To,Distance
Adana,Hatay,191
Adana,Mersin,69
Adana,Kayseri,332
Adana,Kahramanmaraş,192
Adana,Niğde,204
Adana,Osmaniye,87
Adıyaman,Diyarbakır,207
Adıyaman,Elazığ,285
Adıyaman,Gaziantep,150
Adıyaman,Malatya,187
Adıyaman,Kahramanmaraş,163
Adıyaman,Şanlıurfa,112
Afyonkarahisar,Burdur,170
Afyonkarahisar,Denizli,223
Afyonkarahisar,Eskişehir,144
Afyonkarahisar,Isparta,169
Afyonkarahisar,Konya,223
Afyonkarahisar,Kütahya,100
Afyonkarahisar,Uşak,116
Ağrı,Bitlis,234
Ağrı,Erzurum,184
Ağrı,Kars,216
Ağrı,Muş,245
Ağrı,Van,230
Ağrı,Iğdır,143
Amasya,Çorum,92
Amasya,Samsun,131
Amasya,Tokat,114
Amasya,Yozgat,200
Ankara,Bolu,191
Ankara,Çankırı,131
Ankara,Eskişehir,233
Ankara,Kırşehir,184
Ankara,Konya,258
Ankara,Aksaray,225
Ankara,Kırıkkale,75
Antalya,Burdur,122
Antalya,Isparta,130
Antalya,Mersin,477
Antalya,Konya,322
Antalya,Muğla,311
Antalya,Karaman,374
Artvin,Erzurum,226
Artvin,Rize,161
Artvin,Ardahan,117
Aydın,Denizli,126
Aydın,İzmir,126
Aydın,Manisa,155
Aydın,Muğla,99
Balıkesir,Bursa,151
Balıkesir,Çanakkale,199
Balıkesir,İzmir,176
Balıkesir,Kütahya,228
Balıkesir,Manisa,141
Bilecik,Bolu,213
Bilecik,Bursa,95
Bilecik,Eskişehir,82
Bilecik,Kocaeli (İzmit),136
Bilecik,Kütahya,112
Bilecik,Sakarya (Adapazarı),99
Bingöl,Diyarbakır,144
Bingöl,Elazığ,142
Bingöl,Erzincan,273
Bingöl,Erzurum,180
Bingöl,Muş,113
Bingöl,Tunceli,142
Bitlis,Ağrı,234
Bitlis,Muş,83
Bitlis,Siirt,97
Bitlis,Van,163
Bitlis,Batman,135
Bolu,Ankara,191
Bolu,Bilecik,213
Bolu,Çankırı,233
Bolu,Eskişehir,290
Bolu,Sakarya (Adapazarı),114
Bolu,Zonguldak,158
Bolu,Karabük,134
Bolu,Düzce,45
Burdur,Afyonkarahisar,170
Burdur,Antalya,122
Burdur,Denizli,150
Burdur,Isparta,51
Burdur,Muğla,241
Bursa,Balıkesir,151
Bursa,Bilecik,95
Bursa,Kocaeli (İzmit),132
Bursa,Kütahya,177
Bursa,Sakarya (Adapazarı),160
Bursa,Yalova,69
Çanakkale,Balıkesir,199
Çanakkale,Edirne,216
Çanakkale,Tekirdağ,188
Çankırı,Ankara,131
Çankırı,Bolu,233
Çankırı,Çorum,156
Çankırı,Kastamonu,106
Çankırı,Kırıkkale,105
Çankırı,Karabük,193
Çorum,Amasya,92
Çorum,Çankırı,156
Çorum,Kastamonu,196
Çorum,Samsun,172
Çorum,Sinop,269
Çorum,Yozgat,108
Çorum,Kırıkkale,166
Denizli,Afyonkarahisar,223
Denizli,Aydın,126
Denizli,Burdur,150
Denizli,Manisa,208
Denizli,Muğla,145
Denizli,Uşak,150
Diyarbakır,Adıyaman,207
Diyarbakır,Bingöl,144
Diyarbakır,Elazığ,153
Diyarbakır,Malatya,249
Diyarbakır,Mardin,95
Diyarbakır,Muş,257
Diyarbakır,Şanlıurfa,176
Diyarbakır,Batman,100
Edirne,Çanakkale,216
Edirne,Kırklareli,62
Edirne,Tekirdağ,140
Elazığ,Adıyaman,285
Elazığ,Bingöl,142
Elazığ,Diyarbakır,153
Elazığ,Malatya,98
Elazığ,Tunceli,136
Erzincan,Bingöl,273
Erzincan,Erzurum,190
Erzincan,Giresun,296
Erzincan,Gümüşhane,133
Erzincan,Malatya,363
Erzincan,Sivas,248
Erzincan,Tunceli,131
Erzincan,Bayburt,155
Erzurum,Ağrı,184
Erzurum,Artvin,226
Erzurum,Bingöl,180
Erzurum,Erzincan,190
Erzurum,Kars,204
Erzurum,Muş,266
Erzurum,Rize,379
Erzurum,Bayburt,125
Erzurum,Ardahan,230
Eskişehir,Afyonkarahisar,144
Eskişehir,Ankara,233
Eskişehir,Bilecik,82
Eskişehir,Bolu,290
Eskişehir,Konya,338
Eskişehir,Kütahya,78
Gaziantep,Adıyaman,150
Gaziantep,Hatay,194
